product_id,product_name,brand,main_category,subcategory,list_price,sale_price,discount_pct,available
19,"Spalding Tf Comp Football, Youth",SPALDING DIV OF RUSSELL CORP.,Sports & Outdoors,Sports,19.99,19.99,0.0,True
20,"The Peanut Shell Baby Crib Rail Guard - Grey Arrow Geometric Print - 100% Cotton Sateen Cover, Polyester Fill",The Peanut Shell,Baby,Nursery & Decor,34.99,34.99,0.0,True
21,Champro Adult First Down Two-Tone Football Jersey Orange/Black Medium,Champro,Sports & Outdoors,Sports Fan Shop,25.86,25.86,0.0,True
22,SweetGourmet Narrow Sesame Sticks | Lightly Salted | Kosher | 2 Pounds,Sweetgourmet,Food,"Snacks, Cookies & Chips",12.99,12.99,0.0,True
23,"Adoretex Mens Guard Swim Board Short Swim Trunk with Mesh Liner in Red, Size X-Large",Adoretex,Clothing,Mens Clothing,26.39,26.39,0.0,True
24,"Health Warrior Chia Bar, Acai Berry, 25 G, Pack Of 15",Health Warrior,Health,Superfoods & Cleanses,23.21,23.21,0.0,True
25,Wonder Classic White Bread 20 oz. Loaf,Wonder,Food,Fresh Food,2.58,2.58,0.0,False
26,Cimarron 50x12x10 #24 Batting Cage & Complete Frame HD (1 Box),Cimarron,Sports & Outdoors,Sports,1203.47,1203.47,0.0,True
27,Birchwood Casey Eze-Scorer 52-Card Shoot-Up,Birchwood Casey,Sports & Outdoors,Outdoor Sports,4.99,4.99,0.0,True
28,"ReNew Life Formulas ReNew Life FiberSmart, 200 ea",Renew Life,Health,Fiber Supplements,20.99,20.99,0.0,True
29,"OTVIAP Baby Stroller 21cm Extension Footrest for YOYA VOVO Pushchair Foot Support Accessory, Stroller Footrest,Baby Stroller Footrest",OTVIAP,Baby,Strollers,16.78,16.78,0.0,True
30,Wooden Boomerang Colors May Vary,Adventure Planet,Sports & Outdoors,Recreation,9.39,9.39,0.0,True
31,2 Pack - Oral-B Glide Pro-Health Threader Floss 30 Each,Oral-B,Personal Care,Oral Care,14.0,14.0,0.0,True
32,(25 pack) 5 Panel Oral Saliva Drug Test / AMP Amphetamine - COC Cocaine - METH Methamphetamine - OPI Opiates - THC marijuana,Acro,Health,Home Health Care,74.99,74.99,0.0,True
33,5 Pack Natures Answer - Green Tea 2OZ Energy Shot w/ Yerba MatÃ,Natures Answer,Food,Beverages,16.31,16.31,0.0,True
34,Toschi Organic Balsamic Vinegar of Modena - 16.9 oz.,Toschi,Food,"Condiments, Sauces & Spices",9.99,9.99,0.0,True
35,Womens UV Protection Splice Striped Print Swimwear Long Raglan Sleeve Rash Guard UPF50+ Swim Shirt,Reactionnx,Sports & Outdoors,Outdoor Sports,24.26,24.26,0.0,True
36,Pogo 40 Inflatable Obstacle Course Bounce House - Retro Kids Rock Climbing Wall,Pogo Bounce House,Toys,Outdoor Play,3999.99,3999.99,0.0,True
37,Campagnolo 11-Speed 15 Tooth D Cog for 11-27 and 11-29 Cassettes,Campagnolo,Sports & Outdoors,Bikes,23.82,23.82,0.0,True
38,"Claritin RediTabs 24 Hour Non-Drowsy Allergy Tablets 10mg, 30 Ct",Claritin,Health,Caregiver,19.82,19.82,0.0,True
39,"Licorice Twists by Its Delish (Cherry, 1 lb (16 Oz.))",Its Delish,Food,"Chocolate, Candy & Gum",12.79,12.79,0.0,True
40,Geenny Daisy Garden Musical Mobile - Multi,GEENNY,Baby,Nursery & Decor,32.99,32.99,0.0,True
41,Proraso Shave soap menthol and eucalyptus 4oz + LA Cross Tweezers 71817,Proraso,Beauty,Premium Beauty,8.99,8.99,0.0,True
42,"2 Pack - J.R. Watkins Skin Calming Lotion Unscented, 18 oz",J.R. Watkins,Personal Care,Bath & Body,24.71,24.71,0.0,True
43,Metal Shell 5-Digit Mechanical Rotary Counter Count,Unique Bargains,Shop by Brand,All Departments,10.48,10.48,0.0,True
44,"Mikasa Squish Volleyball, Blue",Mikasa,Sports & Outdoors,Sports,16.76,16.76,0.0,True
45,Weight Watchers Popcorn (White Cheddar),Weight Watchers,Food,"Snacks, Cookies & Chips",13.95,13.95,0.0,False
46,"Itzy Ritzy Sweetie Soother Pacifier Set of 2- Silicone Newborn Pacifiers with Collapsible Handle & Two Air Holes for Added Safety; Set of 2 in Light Blue & Dark Blue, Ages Newborn & Up",Itzy Ritzy,Baby,Feeding,12.99,12.99,0.0,True
47,"Lance Peanut Bar, Single-Serve Bar, 6 Ct",Lance,Food,Breakfast & Cereal,3.13,3.13,0.0,True
48,Removable Water-Activated Wallpaper Baseball Sports Black And White Vintage,Roostery,Home Improvement,Paint,65.0,65.0,0.0,True
49,Mens Nike Black Colorado Rockies Element Half-Zip Performance Top,Nike,Sports & Outdoors,Sports Fan Shop,52.49,52.49,0.0,True
50,"Hear-Me Whistle 2-pk, Yellow",UST,Sports & Outdoors,Sports,5.01,3.16,36.93,True
51,Palmers Coconut Oil Formula with Vitamin E Coconut Oil Body Firming Sheet Mask 0.84 fl. oz.,Palmers,Personal Care,Bath & Body,5.08,3.0,40.94,True
52,Bicycle Bike Cycle Tyre Tube Replacement Presta Dual Head Air Pump Adapter Valve,Unknown,Sports & Outdoors,Bikes,8.32,8.32,0.0,True
53,M&Ms Size Club Variety Mix 115 ct.,assortit,Food,"Chocolate, Candy & Gum",28.98,28.98,0.0,True
54,"Braun Oral-B Extrasoft Toothbrush Replacement Brushheads - 3 Ea, 6 Pack",Oral-B,Personal Care,Oral Care,76.62,76.62,0.0,True
55,Rise Solid Poly X-Back,RISE Aquatics,Sports & Outdoors,Sports,29.0,29.0,0.0,True
56,The Amazing Quality SportsStuff 4K Tow Rope - 4-Person,Sportsstuff,Sports & Outdoors,Outdoor Sports,27.53,27.53,0.0,True
57,Washington 4 Ball and Divot Tool Set,Team Golf,Sports & Outdoors,Sports Fan Shop,27.15,27.15,0.0,True
58,Ktaxon 3 in 1 Folding Adjustable Upright Exercise Cycling Recumbent Bike,Ktaxon,Sports & Outdoors,Exercise & Fitness,131.99,131.99,0.0,True
59,Race Face Cinch Bottom Bracket Spacer Kit: BBRight,RACE FACE,Sports & Outdoors,Bikes,7.64,7.64,0.0,True
60,Marucci Bat Grip 1.75 mm - Homeplate American Flag,Marucci,Sports & Outdoors,Sports,11.95,11.95,0.0,True
61,National Geographic Snorkeler EZ-KIK Split Fin Set Red ML/XL31-9,National Geographic Snorkeler,Sports & Outdoors,Outdoor Sports,78.95,78.95,0.0,True
62,KidWise Obstacle Racer Bounce House,KIDWISE,Toys,Outdoor Play,489.0,489.0,0.0,True
63,Mens Summer Cycling Jersey Breathable Short Sleeve Full Zip Bike Shirt MTB Bicycle Riding Jersey,Wosawe,Sports & Outdoors,Bikes,17.74,17.74,0.0,True
64,Healthometer 498KL 500 Lb/227 Kg Capacity Remote Scale & Case,HealthOMeter,Electronics,Smart Home,100.0,100.0,0.0,True
65,Sunrace Freehub Cassette CS-R63 11-24 Nik 7 Speed,Sunrace,Sports & Outdoors,Bikes,15.37,15.37,0.0,True
66,"Product Of Kelloggs Pop Tart, Cherry, Count 6 (3.67 oz) - Granola/Cereal/Oat/Brkfast Bar / Grab Varieties & Flavors",Product Of Kelloggs Pop Tart,Food,Breakfast & Cereal,12.56,12.56,0.0,False
67,4 Pack Portable Bamboo Charcoal Soft Toothbrush BPA-Free Small Head Toothbrush Wheat Straw,ZEDWELL,Personal Care,Oral Care,23.78,23.78,0.0,True
68,Uno Replacement Deck - Includes Bonus Customizable Wild Cards!,Mattel,Toys,Games & Puzzles,6.99,6.99,0.0,True
69,Teeter FitSpine X3 Inversion Table with Back Pain Relief DVD,Teeter,Sports & Outdoors,Exercise & Fitness,459.0,459.0,0.0,True
70,2 Pack Sensodyne Repair Protect Whitening Toothpaste with Fluoride 3.4oz Each,Sensodyne,Personal Care,Oral Care,17.74,17.74,0.0,True
71,"ZENSTYLE 48"" Web Tree Swing - Large Platform 71"" Adjustable Detachablee Nylon Rope Kids Adults",ZENSTYLE,Toys,Outdoor Play,54.95,54.95,0.0,True
72,MacGregor X2Y Junior Rubber Official Youth Football,MacGregor,Sports & Outdoors,Sports,11.5,9.22,19.83,True
73,"The Kitchen - dinner choices: take it or leave it vinyl lettering wall decal sticker (12.5""H x 25""L, Black)",Wall Sayings Vinyl Lettering,Baby,Nursery & Decor,12.99,12.99,0.0,True
74,Rave Sports Aqua Slide Northwoods,RAVE Sports,Sports & Outdoors,Outdoor Sports,799.99,799.99,0.0,True
75,"MAM Pacifiers, Baby Pacifier 0-6 Months, Best Pacifier for Breastfed Babies, ‘Clear Design Collection, Unisex, 2-Count",MAM USA,Baby,Feeding,7.77,7.77,0.0,True
76,Natural Teeth Whitening Premium Kit -Activated Charcoal Gel ( Qty 10 ) + Mouth Rinse + Soft Toothbrush - Made in Usa,Char White,Personal Care,Oral Care,15.29,15.29,0.0,True
77,First Team Storm Pro Steel-Glass Portable Basketball System44; Kelly Green,First Team,Sports & Outdoors,Sports,5700.0,5700.0,0.0,True
78,"Natural Fresh Flowers - Yellow Roses, 24"", 50 Stems",Bloomingmore,Food,Fresh Cut Flowers,67.99,67.99,0.0,True
79,Scivation Xtend The Original 7G BCAA Watermelon Explosion 1 4 lb 650 g,Scivation,Food,Beverages,45.62,45.62,0.0,True
80,"Easton 12.5"" Paragon Series Youth Baseball First Base Mitt, Right Hand Throw",Easton,Sports & Outdoors,Sports,49.95,49.95,0.0,True
81,Stansport Mess Kit - Heavy Duty Aluminum - Polished,Stansport,Sports & Outdoors,Outdoor Sports,19.99,13.79,31.02,True
82,Wedlies 3-in-1 Deluxe Kick & Play Piano Gym Baby Piano Activity Center Play mat,Wedlies,Baby,Baby Activities & Gear,40.98,40.98,0.0,True
83,"Nordic Naturals ProOmega, 650 EPA/450 DHA, Lemon Flavor, 60 Count",Nordic Naturals,Health,Vitamins & Supplements,22.19,22.19,0.0,True
84,"Archway Oatmeal Raisin Classic Soft Cookies, 9.25 Oz",Archway,Food,"Snacks, Cookies & Chips",2.89,2.74,5.19,True
85,Boon WHALE POD Bath Toy Scoop Drain & Storage,BOON,Baby,Baby & Toddler Toys,25.9,25.9,0.0,True
86,"JM Smucker Smuckers Jam, 200 ea",Smuckers,Food,"Condiments, Sauces & Spices",34.25,34.25,0.0,True
87,Best Naturals Garcinia 1000 mg 90 Vcaps - 60% HCA weight loss formula,Best Naturals,Health,Weight Management,10.99,10.99,0.0,True
88,KMC XD XD137 FMJ Black 20x10 8x6.5 -18mm (XD13721080718N),KMC XD,Sports & Outdoors,Outdoor Sports,295.11,295.11,0.0,True
89,8-Foot Professional Beer Pong Table - America Edition,Party Pong,Sports & Outdoors,Recreation,99.97,99.97,0.0,True
90,Bike Helmet Mirror 360° Rotary Cycling Bicycle Rear View Mirror,JG PRO STAR,Toys,Kids Bikes & Riding Toys,8.04,8.04,0.0,True
91,"Tummy Time Under The Sea Playmat, Soft and adorable yellow submarine mat and crab pillow By Tiny Love",Tiny Love,Baby,Baby Activities & Gear,42.49,42.49,0.0,False
92,"4 Pack - Burts Bees Baby Shampoo & Wash, Original 21 oz",Burts Bees Baby,Baby,Diapering,58.81,58.81,0.0,True
93,BSN SPORTS Team Equipment Bag,BSN SPORTS,Sports & Outdoors,Sports,20.04,17.64,11.98,True
94,"CareBag Bedpan Liner Absorbent Bags, 20 count",CareBag,Health,Home Health Care,19.95,19.95,0.0,True
95,Bulbrite Industries Nostalgic Edison 40W (27000K) Incandescent Light Bulb (Set of 3),BULBRITE,Household Essentials,Light Bulbs,17.64,17.64,0.0,False
96,"2 Pack Monistat Soothing Care Chafing Relief Powder-Gel, 1.5-Ounce Tube","Emerson Healthcare LLC for Concepts in Health, Inc",Personal Care,Feminine Care,15.49,15.49,0.0,True
97,"Equate Extra Care Probiotic Capsules, Delayed Release, 50 Count",Equate,Health,Probiotics,21.94,21.94,0.0,True
98,"Lifetime Hooligan 80 Youth Stand-Up Paddleboard (Paddle Included), Blue, 90859",Lifetime,Sports & Outdoors,Outdoor Sports,357.53,357.53,0.0,True
99,"NEW A&R Pro Series Hockey Stick Bag Holds Up To 3 Player or 2 Goalie Sticks BLK, For Hockey players looking to protect their investments by preserving stick blades.., By AR Sports",AR Sports,Sports & Outdoors,Sports,29.59,29.59,0.0,True
100,"Tornados, Breakfast Bacon, Egg and Cheese, 3 oz., (24 count)",Tornados,Food,"Meal Solutions, Grains & Pasta",61.87,61.87,0.0,True
101,"Light Blue Foil Candy Wrappers 3"" X 3"" by Paper Mart",Paper Mart,Household Essentials,Paper & Plastic,11.37,11.37,0.0,True
102,"PURELL, GOJ190502, LTX-12 Dispenser Refill Hand Sanitizer, 1 Each",PURELL&reg;,Industrial & Scientific,Janitorial & Sanitation Supplies,37.76,37.76,0.0,True
103,"Meringue Powder (1 oz, ZIN: 526467) - 3-Pack",Larissa Veronica,Food,Baking,19.63,19.63,0.0,True
104,4 Pack - Jolen Creme Bleach Original 4 oz,Jolen,Personal Care,Shaving,40.58,40.58,0.0,True
105,"DIVERSEY 3364707 Bathroom Cleaner,Spray Bottle,Green,PK2",Diversey,Household Essentials,Bathroom,53.98,53.98,0.0,True
106,"Yoga Sprout Baby Boy and Girl Jersey Cotton Sleeping Bag 2 Pack, Damask and Ornate Clover, 18-24 Months",Yoga Sprout,Baby,Nursery & Decor,21.99,21.99,0.0,True
107,2x Garden Flocked Hard Plastic Hunting Bait Black Crow Decoy Feeding Or Standing Up Highly Realistic,Generic,Sports & Outdoors,Outdoor Sports,12.99,12.99,0.0,False
108,ROSWHEEL Bike Front Handlebar Front Tube Waterproof Bag Front Frame Tube Bag,CBD,Sports & Outdoors,Bikes,9.59,9.59,0.0,True
109,"OxiClean High Def Clean Sparkling Fresh Laundry Detergent Paks, 47 Count",OxiClean,Household Essentials,Laundry,9.97,9.97,0.0,True
110,Hansens Natural Cane Mandarin Lime Soda 6-12 fl. oz. Cans,Hansens,Food,Beverages,19.85,19.85,0.0,True
111,Weider 6 Standard Barbell with Partially Knurled Grip,Weider,Sports & Outdoors,Exercise & Fitness,29.67,29.67,0.0,True
112,"1 Pair Noise Cancelling Ear Plugs Waterproof Soft Silicone Earplugs Anti-Noise Ear Protectors For Sleeping Swimming Flight, Factory, Construction Site",Anself,Health,Ear Care,5.14,5.14,0.0,True
113,"STABILicers Mens Stabilicers Sport Runners Ice Cleats,Grey,L (10.5-12.5 Mens)",Stabilicers,Sports & Outdoors,Outdoor Sports,34.49,34.49,0.0,True
114,BariatricPal 15g Protein Shake Mix in a Bottle - Chocolate Cream Pack: One Bottle,BariatricPal,Health,Protein & Fitness,2.99,2.99,0.0,True
115,Brunswick T-Zone Indigo Swirl Bowling Ball (9lbs),Brunswick,Sports & Outdoors,Sports,53.95,53.95,0.0,True
116,Hearos Ear Plugs Xtreme Protection Series 14 pairs,HEAROS,Health,Ear Care,5.05,5.05,0.0,False
117,Champion Sports Catchers Knee Support,champion-sports,Sports & Outdoors,Sports,13.58,13.58,0.0,True
118,Bear Naked Soft Baked Fruit and Nut Granola,Bear Naked,Food,Breakfast & Cereal,105.95,105.95,0.0,True
119,Butterfly Table Tennis Rubber - Feint Long II 1.1 Black,Butterfly,Sports & Outdoors,Recreation,29.99,29.99,0.0,True
120,White Lily Self Rising Bleached Flour - 80 oz Pack Of 1,White Lily,Food,Baking,21.21,21.21,0.0,True
121,"Pack of 3 - Croutons, Seasoned, 4.5 oz",365 EVERYDAY VALUE,Food,"Condiments, Sauces & Spices",14.19,14.19,0.0,True
122,"LHCER 10pcs Bike Derailleur Cable Road Shift Cable Inner Shift Cable For Bicycle, inner shift cables, shift cable",LHCER,Sports & Outdoors,Bikes,7.91,7.91,0.0,True
123,Kvuzat Yavne Green Olives Nuovo Giant KFP 19 Oz. Pack Of 6.,Kvuzat Yavne,Food,"Condiments, Sauces & Spices",31.99,31.99,0.0,True
124,"Blue Blow-Molded PE In-Ground Swimming Pool Vacuum Hose - 36 x 1.25""",Pool Central,Toys,Outdoor Play,23.18,23.18,0.0,True
125,Sunlite Pedals BMX Beartrap 1/2 Black,Sunlite,Sports & Outdoors,Bikes,27.84,27.84,0.0,True
126,BW USA Bicycle Cassette Lockring Removal Tool with 12mm Center Guide Pin,BW USA,Sports & Outdoors,Bikes,10.99,10.99,0.0,True
127,Ergobaum Ergonomic Forearm Crutches - Adult - Black,Ergoactives,Health,Home Health Care,189.0,189.0,0.0,True
128,Integy RC Toy Model Hop-ups C26314BLUE Billet Machined T3 Rear Hub Carrier (2) for 1/10 Stampede 4X4 & Slash 4X4,Integy,Sports & Outdoors,Bikes,24.99,24.99,0.0,True
129,"Original SNIP with LED Light Fishing Line Cutter, 36"" Retractable Tether, Stainless Steel Blades Cut Braid Clean and Smooth Everytime!",Boomerang Tool,Sports & Outdoors,Outdoor Sports,14.1,10.89,22.77,True
130,Carolines Treasures Dachshund Checkerboard Square Decorative Outdoor Pillow,Carolines Treasures,Patio & Garden,Patio & Outdoor Decor,28.34,28.34,0.0,True
131,X-Lab Rocket Pocket Top Tube/ Stem Bag: Red,X-Lab,Sports & Outdoors,Bikes,42.0,42.0,0.0,True
132,Golds Soup - Borscht - Case Of 12 - 24 Oz.,Golds,Food,"Meal Solutions, Grains & Pasta",85.89,85.89,0.0,True
133,Baby Bag Portable Newborn Biomimicry Multifunctional Emperorship Solidder Nursery Foldable Travel Bed With Bumper Cot Mattress,Topboutique,Baby,Health & Safety,51.16,51.16,0.0,True
134,matoen Inflatable Baby Water Mat Fun Activity Play Center for Children & Infants,matoen,Baby,Baby Activities & Gear,12.99,12.99,0.0,True
135,"Natures Answer Black Walnut & Wormwood, 1 Fl Oz",Natures Answer,Health,Vitamins & Supplements,11.24,7.87,29.98,True
136,"Medline Durable Round Shower Stool, Aluminum Frame, 300 lb. Weight Capacity, White",Medline,Health,Home Health Care,29.99,29.99,0.0,True
137,"Hurricane H-BWL2445-6 Black 24"" Nylon Coated Steel 45lb Test Leaders (6 Pack)",Hurricane,Sports & Outdoors,Outdoor Sports,3.47,3.47,0.0,True
138,"3 Pack - Ocean Potion Scent Of Sunshine SPF 50 Sunscreen Spray, 5.5 oz Each",Ocean Potion,Personal Care,Sun Care,28.1,28.1,0.0,True
139,Denver Broncos The Northwest Company Handwarmer - No Size,The Northwest Company,Sports & Outdoors,Sports Fan Shop,21.99,21.99,0.0,True
140,Shimano HG50 8-Speed 13-26t Cassette,Shimano,Sports & Outdoors,Bikes,34.0,34.0,0.0,True
141,"Master Mens Bowling Shoe Covers Skull, Small",Master Industries,Sports & Outdoors,Sports,15.52,15.52,0.0,True
142,7 Speed Sunrace Mountain Bike Cassette (Shimano) 12-28,Sunrace,Sports & Outdoors,Bikes,15.2,15.2,0.0,True
143,Barska Optics Red Laser,Barska,Sports & Outdoors,Outdoor Sports,19.78,19.78,0.0,True
144,"Honeywell Howard Leight Multi Max Disposable Earplugs, Foam, Coral/Yellow, Uncorded, Poly Bag",Honeywell,Sports & Outdoors,Outdoor Sports,31.0,31.0,0.0,True
145,"BODYARMOR Sports Drink, Orange Mango, 12 Fl. Oz., 8 count",BODYARMOR,Health,Weight Management,5.98,5.98,0.0,True
146,Unique Bargains Stripe Pattern Bell Decor Pet Dog Doggy Adjustable Bowtie Collar White Beige,Unique Bargains,Pets,Dogs,5.81,5.81,0.0,True
147,Pogo Rainbow Crossover Kids Jumper Inflatable Bounce House with Slide and Blower,Pogo Bounce House,Toys,Outdoor Play,999.99,999.99,0.0,True
148,York Barbell ISO-Grip Rubber Encased Olympic Grip Plates - 10 lb,York Barbell,Sports & Outdoors,Exercise & Fitness,27.99,27.99,0.0,True
149,"Bowling Shower Curtain, Tournament Championship Theme with Shoes Trophy and Icons Pattern Abstract Design, Fabric Bathroom Set with Hooks, 69W X 75L Inches Long, Multicolor, by Ambesonne",Ambesonne,Sports & Outdoors,Sports,34.99,34.99,0.0,True
150,"Dapple Baby Plant Based Calming Shampoo & Body Wash, Lavender & Jasmine, 16.9 oz.",dapple,Baby,Diapering,7.48,7.48,0.0,True
151,Sony #376 SR626W 1.55V Silver Oxide Watch Battery,FindingKing,Household Essentials,Batteries,7.07,7.07,0.0,True
152,"Vigo Importing Vigo Olives, 6 oz",Vigo,Food,"Condiments, Sauces & Spices",4.2,4.2,0.0,False
153,Alex And Ani Carolina Panthers Football Charm Rafaelian Gold Bangle AS15CP02RG,Alex and Ani,Sports & Outdoors,Sports,12.6,12.6,0.0,True
154,Aquabot Breeze SE Hyper-Speed Scrubbing Above and In-Ground Robotic Pool Cleaner,Aquabot,Toys,Outdoor Play,450.05,450.05,0.0,True
155,"Axe Origin USA Baseball Bat, 29"" (-8)",Axe,Sports & Outdoors,Sports,59.95,59.95,0.0,True
156,Tokelau ScudoPro Short Sleeve Cycling Jersey for Men - Size XS,ScudoPro,Clothing,Mens Clothing,42.99,42.99,0.0,True
157,RigEm Right XL-6 Slotted Decoy Bag,Rigem Right,Sports & Outdoors,Outdoor Sports,61.85,61.85,0.0,True
158,"S&S Worldwide Spectrum Elementary Floor Hockey Set, 36""",S&S Worldwide,Sports & Outdoors,Sports,76.87,76.87,0.0,True
159,"Rejuvaskin Stretch Mark Cream – Helps Improve and Prevent Stretch Marks – Cocoa Butter, Aloe, Shea - 3Fl Oz/90mL",Rejuvaskin,Personal Care,Bath & Body,21.95,21.95,0.0,True
160,Picamas Green Hot sauce 3.52 oz - Salsa verde picante (Pack of 24),Picamas,Food,"Snacks, Cookies & Chips",54.46,54.46,0.0,True
161,"Baby Infant Outdoor Travel Stroller Wet Wipes Box Tissue Case Dispenser , Wet tissue box,Baby wet wipes box",Hilitand,Baby,Diapering,8.32,8.32,0.0,True
162,Cimarron 70x14x12 #24 Batting Cage Net Only,Cimarron,Sports & Outdoors,Sports,559.0,559.0,0.0,True
163,"2 Packs Wrist Brace - Hand Compression Support Wrap for Men, Women Carpal Tunnel, Tendinitis, Bowling, Sports Injuries Pain Relief - Removable Splint - Universal Ergonomic Fit",Coolmade,Health,Home Health Care,18.99,18.99,0.0,True
164,"PaperChef Parchment, Culinary, Pre-Cut Sheets",PAPER CHEF,Arts Crafts & Sewing,Art Supplies,16.47,16.47,0.0,True
165,"GlobalRose 10 Fresh Cut Blue Hydrangeas - Fresh Flowers For Birthdays, Weddings or Anniversary.",Global Rose,Food,Fresh Cut Flowers,52.99,52.99,0.0,True
166,"Product of Dole Cherry Mixed Fruit Cups, 16 pk./4 oz.",Brand Dole Tropical,Food,"Meal Solutions, Grains & Pasta",19.72,19.72,0.0,True
167,Cobra Grips PRO Weight Lifting Gloves Heavy Duty Straps Alternative to Power Lifting Hooks For Deadlifts With Built in Adjustable Neoprene Padded Wrist Wrap Support Bodybuilding,Grip Power Pads,Sports & Outdoors,Exercise & Fitness,34.95,34.95,0.0,True
168,Worlds Smallest UNO,Worlds Smallest,Toys,Games & Puzzles,9.85,9.85,0.0,True
169,Uccdo Mini Telescopic Carbon Lightweight Ice Fishing Rod With Fishing Reel,Uccdo,Sports & Outdoors,Outdoor Sports,30.76,30.76,0.0,True
170,NiMH AAA 6-Pack for Panasonic Replacement Batteries,Generic,Household Essentials,Batteries,13.95,13.95,0.0,True
171,Zegerid OTC Acid Reducer Capsules 42 ea(pack of 2),Zegerid,Health,Acid Reflux,49.99,49.99,0.0,True
172,Blood Glucose Monitoring Kit All-in-One Diabetes Testing Meter Sugar Levels Monitor Precise Touch Lancing Device,NuvoMed,Health,Home Health Care,79.99,79.99,0.0,True
173,"Titan Chain Training Dog Collar-Chrome 3.0mm, Neck Size 22""",Coastal Pet Products,Pets,Dogs,9.99,9.99,0.0,True
174,"Chloe and Cotton XXXL Extra Large Woven Rope Laundry Basket 15 x 21"" Gray",Chloe and Cotton,Baby,Nursery & Decor,34.94,34.94,0.0,True
175,Sterile Ultra Sharp Lancets with 23-Gauge Needle -Box of 200,Medline,Health,Home Health Care,36.0,36.0,0.0,True
176,"Juicy Couture Viva La Juicy Mini Perfume, 5 ml",Juicy Couture,Premium Beauty,Premium Fragrance,15.03,15.03,0.0,True
177,Rear Mudguard Tire Tyre Splash Fenders Guard for Xiaomi Mijia M365 Electric Skateboard Scooter Repairing Replacements Kit,Anself,Sports & Outdoors,Bikes,10.61,10.61,0.0,True
178,Mens White Knit Pullover Golf Polo Shirt - Large,Christmas Central,Sports & Outdoors,Sports,6.49,6.49,0.0,True
179,Fisher-Price Smart Connect Deluxe Soother - Replacement Adapter DYW47,Fisher-Price,Baby,Nursery & Decor,22.99,22.99,0.0,True
180,"A&R Pro Series Ice Roller Hockey 3 Piece Chin Strap W 2"" Cheek Loop & 1 Buckle",A & R,Sports & Outdoors,Sports,8.28,8.28,0.0,True
181,"IMAGE LED Baby Car Mirror 360°Rotatable Design, Large and Stable Mirror with Acrylic Material, Four Sturdy Strips for Safe and Secure Driving Environment",IMAGE,Baby,Car Seats,32.99,32.99,0.0,True
182,"3 Pack - Citrucel Fiber Therapy Caplets, 100 Count Each",Citrucel,Health,Fiber Supplements,57.2,57.2,0.0,True
